"Class","Order","Family","Species","Habitats_IUCN"
"Aves","Anseriformes","Anatidae","Anser albifrons","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Neritic - Estuaries [Suitable]"
"Aves","Anseriformes","Anatidae","Anser anser","Marine Neritic - Estuaries [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Anser brachyrhynchus","Marine Intertidal - Tidepools [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Marine Neritic - Estuaries [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]"
"Aves","Anseriformes","Anatidae","Anser erythropus","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Subarctic [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]"
"Aves","Anseriformes","Anatidae","Anser fabalis","Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Shrubland - Boreal [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Grassland - Tundra [Suitable]"
"Aves","Anseriformes","Anatidae","Aythya ferina","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Aythya fuligula","Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]"
"Aves","Anseriformes","Anatidae","Aythya marila","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Marginal]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Aythya nyroca","Artificial/Aquatic - Aquaculture Ponds [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Marginal]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]"
"Aves","Anseriformes","Anatidae","Branta canadensis","Artificial/Aquatic - Excavations (open) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Grassland - Tundra [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Branta leucopsis","Marine Intertidal - Tidepools [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Grassland - Tundra [Suitable]"
"Aves","Anseriformes","Anatidae","Bucephala clangula","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Boreal [Suitable]"
"Aves","Anseriformes","Anatidae","Clangula hyemalis","Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]"
"Aves","Anseriformes","Anatidae","Cygnus cygnus","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]"
"Aves","Anseriformes","Anatidae","Cygnus olor","Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]"
"Aves","Anseriformes","Anatidae","Mareca penelope","Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Mareca strepera","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]"
"Aves","Anseriformes","Anatidae","Marmaronetta angustirostris","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Melanitta fusca","Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]"
"Aves","Anseriformes","Anatidae","Melanitta nigra","Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Shrubland - Boreal [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]"
"Aves","Anseriformes","Anatidae","Mergellus albellus","Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Forest - Boreal [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]"
"Aves","Anseriformes","Anatidae","Mergus merganser","Marine Neritic - Subtidal Sandy [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Forest - Temperate [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Forest - Boreal [Suitable]"
"Aves","Anseriformes","Anatidae","Mergus serrator","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Forest - Boreal [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]"
"Aves","Anseriformes","Anatidae","Netta rufina","Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Oxyura jamaicensis","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]"
"Aves","Anseriformes","Anatidae","Oxyura leucocephala","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]"
"Aves","Anseriformes","Anatidae","Somateria mollissima","Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Pelagic [Marginal]; Marine Intertidal - Tidepools [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]"
"Aves","Anseriformes","Anatidae","Somateria spectabilis","Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]"
"Aves","Anseriformes","Anatidae","Spatula clypeata","Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Spatula querquedula","Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]"
"Aves","Anseriformes","Anatidae","Tadorna ferruginea","Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]"
"Aves","Anseriformes","Anatidae","Tadorna tadorna","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]"
"Aves","Apodiformes","Apodidae","Apus apus","Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]"
"Aves","Apodiformes","Apodidae","Apus caffer","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Temperate [Suitable]"
"Aves","Apodiformes","Apodidae","Apus pallidus","Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]"
